,year,value,count
545,2012,70,48
546,2012,75,128
547,2012,80,231
548,2012,85,507
549,2012,90,838
550,2012,95,1298
551,2012,100,1817
552,2012,105,2164
553,2012,110,2704
554,2012,115,3205
555,2012,120,3622
556,2012,125,3982
557,2012,130,4006
558,2012,135,4222
559,2012,140,4123
560,2012,145,4180
561,2012,150,3813
562,2012,155,3865
563,2012,160,3808
564,2012,165,3492
565,2012,170,3248
566,2012,175,3114
567,2012,180,2942
568,2012,185,2565
569,2012,190,2491
570,2012,195,2321
571,2012,200,2111
572,2012,205,1941
573,2012,210,1758
574,2012,215,1718
575,2012,220,1628
576,2012,225,1481
577,2012,230,1357
578,2012,235,1292
579,2012,240,1184
580,2012,245,1114
581,2012,250,1114
582,2012,255,991
583,2012,260,977
584,2012,265,912
585,2012,270,843
586,2012,275,795
587,2012,280,753
588,2012,285,739
589,2012,290,676
590,2012,295,636
591,2012,300,651
592,2012,305,534
593,2012,310,543
594,2012,315,550
595,2012,320,535
596,2012,325,507
597,2012,330,467
598,2012,335,453
599,2012,340,413
600,2012,345,453
601,2012,350,408
602,2012,355,415
603,2012,360,387
604,2012,365,375
605,2012,370,368
606,2012,375,359
607,2012,380,345
608,2012,385,323
609,2012,390,361
610,2012,395,290
611,2013,55,4
612,2013,60,11
613,2013,65,30
614,2013,70,74
615,2013,75,186
616,2013,80,416
617,2013,85,757
618,2013,90,1257
619,2013,95,1823
620,2013,100,2363
621,2013,105,2976
622,2013,110,3634
623,2013,115,4110
624,2013,120,4523
625,2013,125,4734
626,2013,130,4989
627,2013,135,5169
628,2013,140,4941
629,2013,145,5114
630,2013,150,4861
631,2013,155,4604
632,2013,160,4482
633,2013,165,4434
634,2013,170,4015
635,2013,175,3824
636,2013,180,3528
637,2013,185,3478
638,2013,190,3201
639,2013,195,2974
640,2013,200,2672
641,2013,205,2461
642,2013,210,2404
643,2013,215,2187
644,2013,220,2092
645,2013,225,1953
646,2013,230,1804
647,2013,235,1789
648,2013,240,1639
649,2013,245,1530
650,2013,250,1471
651,2013,255,1357
652,2013,260,1387
653,2013,265,1249
654,2013,270,1186
655,2013,275,1244
656,2013,280,1153
657,2013,285,1052
658,2013,290,991
659,2013,295,994
660,2013,300,849
661,2013,305,854
662,2013,310,857
663,2013,315,831
664,2013,320,742
665,2013,325,770
666,2013,330,670
667,2013,335,636
668,2013,340,625
669,2013,345,604
670,2013,350,609
671,2013,355,585
672,2013,360,542
673,2013,365,560
674,2013,370,507
675,2013,375,516
676,2013,380,458
677,2013,385,457
678,2013,390,481
679,2013,395,455
680,2014,55,7
681,2014,60,22
682,2014,65,88
683,2014,70,219
684,2014,75,442
685,2014,80,779
686,2014,85,1407
687,2014,90,2117
688,2014,95,2849
689,2014,100,3662
690,2014,105,4565
691,2014,110,5325
692,2014,115,5954
693,2014,120,6437
694,2014,125,6686
695,2014,130,6907
696,2014,135,7239
697,2014,140,7054
698,2014,145,6722
699,2014,150,6522
700,2014,155,6443
701,2014,160,6383
702,2014,165,5870
703,2014,170,5645
704,2014,175,5232
705,2014,180,4960
706,2014,185,4565
707,2014,190,4336
708,2014,195,4104
709,2014,200,3732
710,2014,205,3563
711,2014,210,3247
712,2014,215,3078
713,2014,220,2895
714,2014,225,2751
715,2014,230,2585
716,2014,235,2476
717,2014,240,2263
718,2014,245,2265
719,2014,250,2069
720,2014,255,1990
721,2014,260,1864
722,2014,265,1794
723,2014,270,1551
724,2014,275,1610
725,2014,280,1516
726,2014,285,1526
727,2014,290,1397
728,2014,295,1292
729,2014,300,1330
730,2014,305,1170
731,2014,310,1145
732,2014,315,1092
733,2014,320,1100
734,2014,325,1060
735,2014,330,1067
736,2014,335,1002
737,2014,340,903
738,2014,345,907
739,2014,350,919
740,2014,355,861
741,2014,360,826
742,2014,365,830
743,2014,370,781
744,2014,375,715
745,2014,380,752
746,2014,385,742
747,2014,390,688
748,2014,395,626
749,2015,45,1
750,2015,50,3
751,2015,55,23
752,2015,60,48
753,2015,65,156
754,2015,70,344
755,2015,75,806
756,2015,80,1396
757,2015,85,2293
758,2015,90,3295
759,2015,95,4488
760,2015,100,5464
761,2015,105,6569
762,2015,110,7456
763,2015,115,8371
764,2015,120,8906
765,2015,125,9144
766,2015,130,8982
767,2015,135,9370
768,2015,140,8910
769,2015,145,8843
770,2015,150,8338
771,2015,155,8154
772,2015,160,7684
773,2015,165,7154
774,2015,170,6688
775,2015,175,6531
776,2015,180,6090
777,2015,185,5756
778,2015,190,5200
779,2015,195,4901
780,2015,200,4457
781,2015,205,4238
782,2015,210,4070
783,2015,215,3804
784,2015,220,3595
785,2015,225,3405
786,2015,230,3247
787,2015,235,3114
788,2015,240,2838
789,2015,245,2663
790,2015,250,2527
791,2015,255,2388
792,2015,260,2433
793,2015,265,2293
794,2015,270,2154
795,2015,275,2134
796,2015,280,1913
797,2015,285,1899
798,2015,290,1822
799,2015,295,1653
800,2015,300,1649
801,2015,305,1494
802,2015,310,1637
803,2015,315,1554
804,2015,320,1483
805,2015,325,1386
806,2015,330,1384
807,2015,335,1262
808,2015,340,1308
809,2015,345,1203
810,2015,350,1158
811,2015,355,1089
812,2015,360,1181
813,2015,365,1086
814,2015,370,991
815,2015,375,1016
816,2015,380,1007
817,2015,385,1008
818,2015,390,1005
819,2015,395,941
820,2016,45,3
821,2016,50,8
822,2016,55,30
823,2016,60,135
824,2016,65,381
825,2016,70,859
826,2016,75,1616
827,2016,80,2720
828,2016,85,4116
829,2016,90,5610
830,2016,95,7178
831,2016,100,8517
832,2016,105,10023
833,2016,110,10806
834,2016,115,11917
835,2016,120,12122
836,2016,125,12406
837,2016,130,12263
838,2016,135,12360
839,2016,140,11882
840,2016,145,11645
841,2016,150,11155
842,2016,155,10791
843,2016,160,10148
844,2016,165,9588
845,2016,170,9093
846,2016,175,8279
847,2016,180,7958
848,2016,185,7525
849,2016,190,6845
850,2016,195,6609
851,2016,200,6033
852,2016,205,5867
853,2016,210,5413
854,2016,215,5206
855,2016,220,5035
856,2016,225,4694
857,2016,230,4452
858,2016,235,4070
859,2016,240,4023
860,2016,245,3801
861,2016,250,3639
862,2016,255,3426
863,2016,260,3279
864,2016,265,3160
865,2016,270,3001
866,2016,275,2891
867,2016,280,2685
868,2016,285,2629
869,2016,290,2581
870,2016,295,2483
871,2016,300,2325
872,2016,305,2152
873,2016,310,2149
874,2016,315,2048
875,2016,320,1979
876,2016,325,1902
877,2016,330,1807
878,2016,335,1852
879,2016,340,1720
880,2016,345,1632
881,2016,350,1563
882,2016,355,1526
883,2016,360,1516
884,2016,365,1457
885,2016,370,1398
886,2016,375,1373
887,2016,380,1260
888,2016,385,1244
889,2016,390,1190
890,2016,395,1205
891,2017,45,12
892,2017,50,28
893,2017,55,149
894,2017,60,385
895,2017,65,992
896,2017,70,1870
897,2017,75,3277
898,2017,80,5127
899,2017,85,7435
900,2017,90,9704
901,2017,95,12038
902,2017,100,13876
903,2017,105,15694
904,2017,110,17077
905,2017,115,18213
906,2017,120,18665
907,2017,125,19490
908,2017,130,18967
909,2017,135,18785
910,2017,140,17952
911,2017,145,17716
912,2017,150,16872
913,2017,155,16117
914,2017,160,15365
915,2017,165,14172
916,2017,170,13415
917,2017,175,12421
918,2017,180,11888
919,2017,185,11044
920,2017,190,10274
921,2017,195,9729
922,2017,200,8811
923,2017,205,8121
924,2017,210,7779
925,2017,215,7264
926,2017,220,6842
927,2017,225,6444
928,2017,230,6237
929,2017,235,5848
930,2017,240,5666
931,2017,245,5221
932,2017,250,4945
933,2017,255,4602
934,2017,260,4331
935,2017,265,4249
936,2017,270,3948
937,2017,275,3857
938,2017,280,3628
939,2017,285,3444
940,2017,290,3297
941,2017,295,3169
942,2017,300,3061
943,2017,305,2869
944,2017,310,2792
945,2017,315,2763
946,2017,320,2517
947,2017,325,2432
948,2017,330,2429
949,2017,335,2385
950,2017,340,2228
951,2017,345,2162
952,2017,350,2054
953,2017,355,1987
954,2017,360,1923
955,2017,365,1834
956,2017,370,1875
957,2017,375,1729
958,2017,380,1663
959,2017,385,1724
960,2017,390,1575
961,2017,395,1569
962,2018,30,1
963,2018,40,2
964,2018,45,18
965,2018,50,77
966,2018,55,248
967,2018,60,720
968,2018,65,1708
969,2018,70,3202
970,2018,75,5377
971,2018,80,8072
972,2018,85,11396
973,2018,90,14322
974,2018,95,17294
975,2018,100,19219
976,2018,105,21557
977,2018,110,22448
978,2018,115,23939
979,2018,120,24053
980,2018,125,24041
981,2018,130,23467
982,2018,135,22969
983,2018,140,21721
984,2018,145,21062
985,2018,150,19367
986,2018,155,18617
987,2018,160,17048
988,2018,165,16096
989,2018,170,15085
990,2018,175,14082
991,2018,180,13061
992,2018,185,12297
993,2018,190,11167
994,2018,195,10539
995,2018,200,9470
996,2018,205,8814
