competitionId,best,average,personName,personCountryId,regionalSingleRecord,regionalAverageRecord
Euro2010,1533,1726,Ivan Vynnyk (Іван Винник),Ukraine,NR,NR
AsianChampionship2010,808,982,Yumu Tabuchi (田渕雄夢),Japan,,AsR
MatsudoOpen2010,861,903,Yumu Tabuchi (田渕雄夢),Japan,,AsR
MelbourneCubeDay2010,703,907,Feliks Zemdegs,Australia,WR,
MelbourneCubeDay2010,709,791,Feliks Zemdegs,Australia,,WR
MelbourneCubeDay2010,677,888,Feliks Zemdegs,Australia,WR,
MITFall2010,855,939,Rowe Hessler,USA,,NAR
MITFall2010,694,1052,Rowe Hessler,USA,NAR,
DutchNationals2010,756,931,Erik Akkersdijk,Netherlands,,ER
UTOpen2010,750,949,Yumu Tabuchi (田渕雄夢),Japan,AsR,
MPEIOpen2010,1327,1534,Ivan Vynnyk (Іван Винник),Ukraine,NR,NR
MPEIOpen2010,1311,1518,Ivan Vynnyk (Іван Винник),Ukraine,NR,NR
MPEIOpen2010,1203,1405,Ivan Vynnyk (Іван Винник),Ukraine,NR,NR
LibertyScience2010,831,891,Rowe Hessler,USA,,NAR
MelbourneSummer2011,665,806,Feliks Zemdegs,Australia,WR,
MelbourneSummer2011,731,787,Feliks Zemdegs,Australia,,WR
NemoAmsterdamOpen2011,869,920,Mats Valk,Netherlands,,ER
GermanOpen2011,802,909,Mats Valk,Netherlands,,ER
RomaOpen2011,763,854,Giovanni Contardi,Italy,,ER
KubarooOpen2011,665,820,Feliks Zemdegs,Australia,WR,
KubarooOpen2011,624,807,Feliks Zemdegs,Australia,WR,
KyivOpen2011,1305,1369,Ivan Vynnyk (Іван Винник),Ukraine,,NR
ChonburiOpen2011,815,846,Piti Pichedpan (ปิติ พิเชษฐพันธ์),Thailand,,AsR
MelbourneWinterOpen2011,618,860,Feliks Zemdegs,Australia,WR,
MelbourneWinterOpen2011,566,764,Feliks Zemdegs,Australia,WR,WR
SESCSantos2011,861,1007,Gabriel Dechichi Barbar,Brazil,,SAR
USNationals2011,1336,1630,Emile Compion,South Africa,AfR,
HuaHinOpen2011,678,893,Nipat Charoenpholphant (นิพัฒน์ เจริญพลพันธุ์),Thailand,AsR,
RussiaOpen2011,980,1312,Ivan Vynnyk (Іван Винник),Ukraine,NR,NR
RussiaOpen2011,1150,1206,Ivan Vynnyk (Іван Винник),Ukraine,,NR
TaiwanSummer2011,689,1206,Che-Ting Chu (朱哲廷),Taiwan,AsR,
DaytonFall2011,693,1222,Anthony Brooks,USA,NAR,
DutchOpen2011,684,989,Mats Valk,Netherlands,ER,
DutchOpen2011,641,934,Mats Valk,Netherlands,ER,
Indiana2011,1319,1629,Emile Compion,South Africa,AfR,
MPEIOpen2011,1065,1114,Ivan Vynnyk (Іван Винник),Ukraine,,NR
MPEIOpen2011,1030,1139,Ivan Vynnyk (Іван Винник),Ukraine,,NR
BridgewaterOpen2011,736,827,Rowe Hessler,USA,,NAR
VancouverWinter2011,1297,1551,Jacobus Philip Haupt,South Africa,AfR,AfR
VancouverWinter2011,1100,1539,Jacobus Philip Haupt,South Africa,AfR,AfR
VancouverWinter2011,1328,1472,Jacobus Philip Haupt,South Africa,,AfR
GermanNationals2011,715,852,Cornelius Dieckmann,Germany,,ER
Bangkok2012,615,981,Asia Konvittayayotin (เอเชีย กรวิทยโยธิน),Thailand,AsR,
RiverHillWinter2012,1109,1228,Kamaru-Deen Lawal,Nigeria,,AfR
RiverHillWinter2012,1083,1202,Kamaru-Deen Lawal,Nigeria,AfR,AfR
RiverHillWinter2012,1111,1186,Kamaru-Deen Lawal,Nigeria,,AfR
HessenOpen2012,805,834,Cornelius Dieckmann,Germany,,ER
OficinaOpen2012,859,981,Gabriel Dechichi Barbar,Brazil,,SAR
OficinaOpen2012,916,957,Gabriel Dechichi Barbar,Brazil,,SAR
CubingSpringGrudziadz2012,611,941,Michał Pleskowicz,Poland,ER,
UkraineOpen2012,956,1050,Ivan Vynnyk (Іван Винник),Ukraine,NR,NR
Thailand2012,775,841,Nipat Charoenpholphant (นิพัฒน์ เจริญพลพันธุ์),Thailand,,AsR
Thailand2012,688,838,Nipat Charoenpholphant (นิพัฒน์ เจริญพลพันธุ์),Thailand,,AsR
RabbitAndTurtle2012,755,825,Yumu Tabuchi (田渕雄夢),Japan,,AsR
BerlinOpen2012,684,821,Cornelius Dieckmann,Germany,,ER
PodolianOpen2012,881,1123,Ivan Vynnyk (Іван Винник),Ukraine,NR,
PodolianOpen2012,1003,1033,Ivan Vynnyk (Іван Винник),Ukraine,,NR
PodolianOpen2012,981,1004,Ivan Vynnyk (Іван Винник),Ukraine,,NR
USNationals2012,609,970,Yumu Tabuchi (田渕雄夢),Japan,AsR,
USNationals2012,615,955,Andrew Ricci,USA,NAR,
VancouverSummer2012,1071,1304,Jacobus Philip Haupt,South Africa,AfR,
AustralianNationals2012,678,753,Feliks Zemdegs,Australia,,WR
GoianiaOpen2012,890,955,Gabriel Dechichi Barbar,Brazil,,SAR
EindhovenOpen2012,725,777,Mats Valk,Netherlands,,ER
ChesapeakeSciencePointFall2012,933,1221,Kamaru-Deen Lawal,Nigeria,AfR,
DutchOpen2012,627,766,Mats Valk,Netherlands,,ER
AmericanaOpen2012,838,923,Gabriel Dechichi Barbar,Brazil,,SAR
SESCPompeia2013,765,1003,Gabriel Dechichi Barbar,Brazil,SAR,
Kyiv100th2013,818,937,Ivan Vynnyk (Іван Винник),Ukraine,NR,NR
RiverHillWinter2013,1058,1137,Kamaru-Deen Lawal,Nigeria,,AfR
ZonhovenOpen2013,555,882,Mats Valk,Netherlands,WR,
ChesapeakeSciencePointSpring2013,1027,1093,Kamaru-Deen Lawal,Nigeria,,AfR
MoscowSummer2013,780,1112,Ihor Bilchenko (Ігор Більченко),Ukraine,NR,
SESCInterlagos2013,728,1035,Gabriel Dechichi Barbar,Brazil,SAR,
Brasileiro2013,716,975,Gabriel Dechichi Barbar,Brazil,SAR,
KharkivCubeDay2013,839,920,Ivan Vynnyk (Іван Винник),Ukraine,,NR
AustralianNationals2013,618,749,Feliks Zemdegs,Australia,,WR
LutskOpen2013,825,879,Ivan Vynnyk (Іван Винник),Ukraine,,NR
PodolianOpen2013,816,925,Ivan Vynnyk (Іван Винник),Ukraine,,NR
GoianiaOpen2013,800,894,Gabriel Dechichi Barbar,Brazil,,SAR
MelbourneCubeDay2013,625,654,Feliks Zemdegs,Australia,,WR
MelbourneSummer2014,566,762,Feliks Zemdegs,Australia,OcR,
YaleSpring2014,790,823,Kevin Costello III,USA,,NAR
WelwynGardenCity2014,708,752,Alexander Lau,United Kingdom,,ER
OficinaOpen2014,815,880,Gabriel Dechichi Barbar,Brazil,,SAR
NationalCapitalRegion2014,719,773,Bill Wang,Canada,,NAR
OdessaOpen2014,724,914,Ivan Vynnyk (Іван Винник),Ukraine,NR,
USNationals2014,597,998,Drew Brads,USA,NAR,
PodolianOpen2014,668,917,Ivan Vynnyk (Іван Винник),Ukraine,NR,
PodolianOpen2014,786,875,Ivan Vynnyk (Іван Винник),Ukraine,,NR
Indiana2014,633,752,Lucas Etter,USA,,NAR
BerkeleySummer2014,713,809,Richard Jay S. Apagar,Philippines,,AsR
CuthbertsOpen2014,698,750,Alexander Lau,United Kingdom,,ER
TorontoOpenFall2014,723,750,Bill Wang,Canada,,NAR
Johannesburg2014,615,745,Mats Valk,Netherlands,,ER
CubeEliteUnionCafe2014,581,1049,Jiayu Wang (王佳宇),China,AsR,
KoreanChristmasCup2014,671,798,Seung Hyuk Nahm (남승혁),Korea,,AsR
RedCrossCubingOpen2014,593,1053,Collin Burns,USA,NAR,
NewAvgeOpen2015,704,1318,Juan Pablo Huanqui,Peru,SAR,
XianCherryBlossom2015,680,785,Haowei Fan (樊浩玮),China,,AsR
WelcomeBackToGuildford2015,657,737,Alexander Lau,United Kingdom,,ER
DoylestownSpring2015,525,870,Collin Burns,USA,WR,
BrasiliaOpen2015,684,843,Pedro Roque,Brazil,SAR,SAR
CubeForCambodia2015,561,665,Feliks Zemdegs,Australia,OcR,
UkrainianOpen2015,663,898,Valerii Pochtar (Валерій Почтар),Ukraine,NR,
Michigan2015,585,713,Lucas Etter,USA,,NAR
WC2015,560,721,Feliks Zemdegs,Australia,OcR,
WC2015,539,697,Feliks Zemdegs,Australia,OcR,
SESCSantos2015,682,1018,Pedro Roque,Brazil,SAR,
ChinaChampionship2015,662,734,Mats Valk,Netherlands,,ER
KoreanKAISTstyle2015,749,774,Hyeon Kyo Kyoung,Korea,,AsR
DYCOpen2015,602,724,Mats Valk,Netherlands,,ER
NancyOpen2015,608,713,Michał Pleskowicz,Poland,,ER
PortoAlegreOpen2015,758,805,Pedro Roque,Brazil,,SAR
RiverHillFall2015,490,828,Lucas Etter,USA,WR,
BONDOpen2016,773,840,Ivan Vynnyk (Іван Винник),Ukraine,,NR
ValentineinDaegu2016,632,706,Seung Hyuk Nahm (남승혁),Korea,,AsR
SlavonicGymnasiumOpen2016,648,864,Valerii Pochtar (Валерій Почтар),Ukraine,NR,
SlowNSteadySpring2016,620,706,Lucas Etter,USA,,NAR
