,competitionId,eventId,roundTypeId,pos,best,average,personName,personId,personCountryId,formatId,value1,value2,value3,value4,value5,regionalSingleRecord,regionalAverageRecord
1724356,WestCoastCubingTourCupertino2018,333,1,3,635,737,Feliks Zemdegs,2009ZEMD01,Australia,a,785,736,689,787,635,,
1724357,WestCoastCubingTourCupertino2018,333,2,2,600,719,Feliks Zemdegs,2009ZEMD01,Australia,a,757,600,698,810,702,,
1724358,WestCoastCubingTourCupertino2018,333,f,2,595,700,Feliks Zemdegs,2009ZEMD01,Australia,a,648,734,595,926,719,,
1724811,WCCTLA2018,333bf,1,4,10470,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,-1,10470,0,0,,
1724812,WCCTLA2018,333bf,f,1,5559,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,-1,5559,0,0,,
1724813,WCCTLA2018,444,c,1,2304,2505,Feliks Zemdegs,2009ZEMD01,Australia,a,2304,2829,2662,2355,2498,,
1724814,WCCTLA2018,777,c,1,12497,12768,Feliks Zemdegs,2009ZEMD01,Australia,m,12497,12569,13237,0,0,OcR,OcR
1724815,WCCTLA2018,333,1,1,582,652,Feliks Zemdegs,2009ZEMD01,Australia,a,736,582,628,607,722,,
1724816,WCCTLA2018,333,2,1,615,680,Feliks Zemdegs,2009ZEMD01,Australia,a,710,636,615,695,790,,
1724817,WCCTLA2018,333,f,2,593,640,Feliks Zemdegs,2009ZEMD01,Australia,a,674,836,649,593,597,,
1724818,WCCTLA2018,minx,d,1,3594,3989,Feliks Zemdegs,2009ZEMD01,Australia,a,4563,3594,3728,4284,3954,,OcR
1724819,WCCTLA2018,minx,f,1,4050,4563,Feliks Zemdegs,2009ZEMD01,Australia,a,4621,4050,4676,4688,4393,,
1724820,WCCTLA2018,222,1,3,219,230,Feliks Zemdegs,2009ZEMD01,Australia,a,219,226,225,238,247,,
1724821,WCCTLA2018,222,f,4,114,302,Feliks Zemdegs,2009ZEMD01,Australia,a,415,211,444,280,114,,
1725968,WCCTReno2018,333oh,d,2,1068,1143,Feliks Zemdegs,2009ZEMD01,Australia,a,1686,1070,1209,1068,1151,,
1725969,WCCTReno2018,333oh,f,2,1032,1166,Feliks Zemdegs,2009ZEMD01,Australia,a,1106,1397,1032,1052,1339,,
1725970,WCCTReno2018,444,1,2,2493,2614,Feliks Zemdegs,2009ZEMD01,Australia,a,2537,2795,2493,2548,2756,,
1725971,WCCTReno2018,444,f,2,2041,2460,Feliks Zemdegs,2009ZEMD01,Australia,a,4451,2041,2216,2527,2638,,
1725972,WCCTReno2018,skewb,1,10,681,755,Feliks Zemdegs,2009ZEMD01,Australia,a,715,681,951,827,722,,
1725973,WCCTReno2018,sq1,d,5,1189,1711,Feliks Zemdegs,2009ZEMD01,Australia,a,1658,1467,2009,1189,2178,,
1725974,WCCTReno2018,sq1,f,5,1410,1748,Feliks Zemdegs,2009ZEMD01,Australia,a,1688,1766,1789,2550,1410,,
1725975,WCCTReno2018,333bf,1,3,5275,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,5557,5275,-1,0,0,,
1725976,WCCTReno2018,333bf,f,4,-1,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,-1,-1,0,0,,
1725977,WCCTReno2018,222,1,2,131,227,Feliks Zemdegs,2009ZEMD01,Australia,a,131,238,462,284,158,,
1725978,WCCTReno2018,222,f,1,136,221,Feliks Zemdegs,2009ZEMD01,Australia,a,357,204,136,227,232,,
1730570,SnoCoSummer2018,444,d,2,2664,2847,Feliks Zemdegs,2009ZEMD01,Australia,a,2664,2860,3154,2862,2818,,
1730571,SnoCoSummer2018,444,f,1,2304,2539,Feliks Zemdegs,2009ZEMD01,Australia,a,2503,2711,2590,2523,2304,,
1730572,SnoCoSummer2018,555,d,1,4379,4690,Feliks Zemdegs,2009ZEMD01,Australia,a,4379,4858,4955,4668,4545,,
1730573,SnoCoSummer2018,555,f,1,4257,4602,Feliks Zemdegs,2009ZEMD01,Australia,a,4665,5150,4447,4257,4694,,
1730574,SnoCoSummer2018,777,d,2,12544,13147,Feliks Zemdegs,2009ZEMD01,Australia,m,12544,13121,13777,0,0,,
1730575,SnoCoSummer2018,777,f,1,12091,12467,Feliks Zemdegs,2009ZEMD01,Australia,m,12310,12999,12091,0,0,,OcR
1730576,SnoCoSummer2018,333oh,d,1,948,1094,Feliks Zemdegs,2009ZEMD01,Australia,a,995,1207,1190,1098,948,,
1730577,SnoCoSummer2018,333oh,f,1,822,1101,Feliks Zemdegs,2009ZEMD01,Australia,a,1312,822,961,1211,1130,,
1730578,SnoCoSummer2018,sq1,d,10,1480,1994,Feliks Zemdegs,2009ZEMD01,Australia,a,2416,1480,1924,2167,1891,,
1730579,SnoCoSummer2018,sq1,f,8,976,1680,Feliks Zemdegs,2009ZEMD01,Australia,a,1419,-1,1556,976,2066,,
1730580,SnoCoSummer2018,333,1,1,605,614,Feliks Zemdegs,2009ZEMD01,Australia,a,605,668,606,612,624,,
1730581,SnoCoSummer2018,333,2,1,497,612,Feliks Zemdegs,2009ZEMD01,Australia,a,566,497,665,607,664,,
1730582,SnoCoSummer2018,333,f,1,530,609,Feliks Zemdegs,2009ZEMD01,Australia,a,581,530,651,604,643,,
