competitionId,best,average,personName,personCountryId,regionalSingleRecord,regionalAverageRecord,year
Brown2009,916,1104,Rowe Hessler,USA,,NAR,2009
MelbourneSummerOpen2010,833,1018,Feliks Zemdegs,Australia,OcR,OcR,2010
MelbourneSummerOpen2010,869,921,Feliks Zemdegs,Australia,,WR,2010
TorontoWinter2010,733,1139,Harris Chan,Canada,NAR,,2010
WashingtonDCOpen2010,1002,1039,Rowe Hessler,USA,,NAR,2010
WashingtonDCOpen2010,872,1154,Rowe Hessler,USA,NAR,,2010
SantiagoBLD2010,1127,1229,Francisco Javier Lemes Sáez,Chile,SAR,SAR,2010
ABCOpen2010,1065,1293,Pedro Santos Guimarães,Brazil,SAR,,2010
MelbourneWinterOpen2010,830,982,Feliks Zemdegs,Australia,OcR,,2010
AlaniaOpen2010,896,989,Erik Akkersdijk,Netherlands,,ER,2010
NewZealand2010,794,852,Feliks Zemdegs,Australia,OcR,WR,2010
30thAnniversaryMegaHouse2010,909,1003,Yumu Tabuchi (田渕雄夢),Japan,,AsR,2010
SESCSantos2010,1055,1214,Alexandre Key Wakate Teruya,Brazil,,SAR,2010
SESCSantos2010,955,1295,Gabriel Dechichi Barbar,Brazil,SAR,,2010
SESCSantos2010,778,1067,Gabriel Dechichi Barbar,Brazil,SAR,SAR,2010
EastGermanOpen2010,916,987,Tomasz Żołnowski,Poland,,ER,2010
Nisei2010,878,1021,Phillip Espinoza,USA,,NAR,2010
TaiwanSummer2010,777,1096,Che-Ting Chu (朱哲廷),Taiwan,AsR,,2010
AustralianNationals2010,743,882,Feliks Zemdegs,Australia,OcR,,2010
Germany2010,858,957,Erik Akkersdijk,Netherlands,,ER,2010
XianAutumn2010,959,995,Haowei Fan (樊浩玮),China,,AsR,2010
HarvardFall2010,919,996,Rowe Hessler,USA,,NAR,2010
Euro2010,1533,1726,Ivan Vynnyk (Іван Винник),Ukraine,NR,NR,2010
AsianChampionship2010,808,982,Yumu Tabuchi (田渕雄夢),Japan,,AsR,2010
MatsudoOpen2010,861,903,Yumu Tabuchi (田渕雄夢),Japan,,AsR,2010
MelbourneCubeDay2010,703,907,Feliks Zemdegs,Australia,WR,,2010
MelbourneCubeDay2010,709,791,Feliks Zemdegs,Australia,,WR,2010
MelbourneCubeDay2010,677,888,Feliks Zemdegs,Australia,WR,,2010
MITFall2010,855,939,Rowe Hessler,USA,,NAR,2010
MITFall2010,694,1052,Rowe Hessler,USA,NAR,,2010
DutchNationals2010,756,931,Erik Akkersdijk,Netherlands,,ER,2010
UTOpen2010,750,949,Yumu Tabuchi (田渕雄夢),Japan,AsR,,2010
MPEIOpen2010,1327,1534,Ivan Vynnyk (Іван Винник),Ukraine,NR,NR,2010
MPEIOpen2010,1311,1518,Ivan Vynnyk (Іван Винник),Ukraine,NR,NR,2010
MPEIOpen2010,1203,1405,Ivan Vynnyk (Іван Винник),Ukraine,NR,NR,2010
LibertyScience2010,831,891,Rowe Hessler,USA,,NAR,2010
MelbourneSummer2011,665,806,Feliks Zemdegs,Australia,WR,,2011
MelbourneSummer2011,731,787,Feliks Zemdegs,Australia,,WR,2011
NemoAmsterdamOpen2011,869,920,Mats Valk,Netherlands,,ER,2011
GermanOpen2011,802,909,Mats Valk,Netherlands,,ER,2011
RomaOpen2011,763,854,Giovanni Contardi,Italy,,ER,2011
KubarooOpen2011,665,820,Feliks Zemdegs,Australia,WR,,2011
KubarooOpen2011,624,807,Feliks Zemdegs,Australia,WR,,2011
KyivOpen2011,1305,1369,Ivan Vynnyk (Іван Винник),Ukraine,,NR,2011
ChonburiOpen2011,815,846,Piti Pichedpan (ปิติ พิเชษฐพันธ์),Thailand,,AsR,2011
MelbourneWinterOpen2011,618,860,Feliks Zemdegs,Australia,WR,,2011
MelbourneWinterOpen2011,566,764,Feliks Zemdegs,Australia,WR,WR,2011
SESCSantos2011,861,1007,Gabriel Dechichi Barbar,Brazil,,SAR,2011
USNationals2011,1336,1630,Emile Compion,South Africa,AfR,,2011
HuaHinOpen2011,678,893,Nipat Charoenpholphant (นิพัฒน์ เจริญพลพันธุ์),Thailand,AsR,,2011
RussiaOpen2011,980,1312,Ivan Vynnyk (Іван Винник),Ukraine,NR,NR,2011
RussiaOpen2011,1150,1206,Ivan Vynnyk (Іван Винник),Ukraine,,NR,2011
TaiwanSummer2011,689,1206,Che-Ting Chu (朱哲廷),Taiwan,AsR,,2011
DaytonFall2011,693,1222,Anthony Brooks,USA,NAR,,2011
DutchOpen2011,684,989,Mats Valk,Netherlands,ER,,2011
DutchOpen2011,641,934,Mats Valk,Netherlands,ER,,2011
Indiana2011,1319,1629,Emile Compion,South Africa,AfR,,2011
MPEIOpen2011,1065,1114,Ivan Vynnyk (Іван Винник),Ukraine,,NR,2011
MPEIOpen2011,1030,1139,Ivan Vynnyk (Іван Винник),Ukraine,,NR,2011
BridgewaterOpen2011,736,827,Rowe Hessler,USA,,NAR,2011
VancouverWinter2011,1297,1551,Jacobus Philip Haupt,South Africa,AfR,AfR,2011
VancouverWinter2011,1100,1539,Jacobus Philip Haupt,South Africa,AfR,AfR,2011
VancouverWinter2011,1328,1472,Jacobus Philip Haupt,South Africa,,AfR,2011
GermanNationals2011,715,852,Cornelius Dieckmann,Germany,,ER,2011
Bangkok2012,615,981,Asia Konvittayayotin (เอเชีย กรวิทยโยธิน),Thailand,AsR,,2012
RiverHillWinter2012,1109,1228,Kamaru-Deen Lawal,Nigeria,,AfR,2012
RiverHillWinter2012,1083,1202,Kamaru-Deen Lawal,Nigeria,AfR,AfR,2012
RiverHillWinter2012,1111,1186,Kamaru-Deen Lawal,Nigeria,,AfR,2012
HessenOpen2012,805,834,Cornelius Dieckmann,Germany,,ER,2012
OficinaOpen2012,859,981,Gabriel Dechichi Barbar,Brazil,,SAR,2012
OficinaOpen2012,916,957,Gabriel Dechichi Barbar,Brazil,,SAR,2012
CubingSpringGrudziadz2012,611,941,Michał Pleskowicz,Poland,ER,,2012
UkraineOpen2012,956,1050,Ivan Vynnyk (Іван Винник),Ukraine,NR,NR,2012
Thailand2012,775,841,Nipat Charoenpholphant (นิพัฒน์ เจริญพลพันธุ์),Thailand,,AsR,2012
Thailand2012,688,838,Nipat Charoenpholphant (นิพัฒน์ เจริญพลพันธุ์),Thailand,,AsR,2012
RabbitAndTurtle2012,755,825,Yumu Tabuchi (田渕雄夢),Japan,,AsR,2012
BerlinOpen2012,684,821,Cornelius Dieckmann,Germany,,ER,2012
PodolianOpen2012,881,1123,Ivan Vynnyk (Іван Винник),Ukraine,NR,,2012
PodolianOpen2012,1003,1033,Ivan Vynnyk (Іван Винник),Ukraine,,NR,2012
PodolianOpen2012,981,1004,Ivan Vynnyk (Іван Винник),Ukraine,,NR,2012
USNationals2012,609,970,Yumu Tabuchi (田渕雄夢),Japan,AsR,,2012
USNationals2012,615,955,Andrew Ricci,USA,NAR,,2012
VancouverSummer2012,1071,1304,Jacobus Philip Haupt,South Africa,AfR,,2012
AustralianNationals2012,678,753,Feliks Zemdegs,Australia,,WR,2012
GoianiaOpen2012,890,955,Gabriel Dechichi Barbar,Brazil,,SAR,2012
EindhovenOpen2012,725,777,Mats Valk,Netherlands,,ER,2012
ChesapeakeSciencePointFall2012,933,1221,Kamaru-Deen Lawal,Nigeria,AfR,,2012
DutchOpen2012,627,766,Mats Valk,Netherlands,,ER,2012
AmericanaOpen2012,838,923,Gabriel Dechichi Barbar,Brazil,,SAR,2012
SESCPompeia2013,765,1003,Gabriel Dechichi Barbar,Brazil,SAR,,2013
Kyiv100th2013,818,937,Ivan Vynnyk (Іван Винник),Ukraine,NR,NR,2013
RiverHillWinter2013,1058,1137,Kamaru-Deen Lawal,Nigeria,,AfR,2013
ZonhovenOpen2013,555,882,Mats Valk,Netherlands,WR,,2013
ChesapeakeSciencePointSpring2013,1027,1093,Kamaru-Deen Lawal,Nigeria,,AfR,2013
MoscowSummer2013,780,1112,Ihor Bilchenko (Ігор Більченко),Ukraine,NR,,2013
SESCInterlagos2013,728,1035,Gabriel Dechichi Barbar,Brazil,SAR,,2013
Brasileiro2013,716,975,Gabriel Dechichi Barbar,Brazil,SAR,,2013
KharkivCubeDay2013,839,920,Ivan Vynnyk (Іван Винник),Ukraine,,NR,2013
AustralianNationals2013,618,749,Feliks Zemdegs,Australia,,WR,2013
LutskOpen2013,825,879,Ivan Vynnyk (Іван Винник),Ukraine,,NR,2013
PodolianOpen2013,816,925,Ivan Vynnyk (Іван Винник),Ukraine,,NR,2013
GoianiaOpen2013,800,894,Gabriel Dechichi Barbar,Brazil,,SAR,2013
MelbourneCubeDay2013,625,654,Feliks Zemdegs,Australia,,WR,2013
MelbourneSummer2014,566,762,Feliks Zemdegs,Australia,OcR,,2014
YaleSpring2014,790,823,Kevin Costello III,USA,,NAR,2014
WelwynGardenCity2014,708,752,Alexander Lau,United Kingdom,,ER,2014
OficinaOpen2014,815,880,Gabriel Dechichi Barbar,Brazil,,SAR,2014
NationalCapitalRegion2014,719,773,Bill Wang,Canada,,NAR,2014
OdessaOpen2014,724,914,Ivan Vynnyk (Іван Винник),Ukraine,NR,,2014
USNationals2014,597,998,Drew Brads,USA,NAR,,2014
PodolianOpen2014,668,917,Ivan Vynnyk (Іван Винник),Ukraine,NR,,2014
PodolianOpen2014,786,875,Ivan Vynnyk (Іван Винник),Ukraine,,NR,2014
Indiana2014,633,752,Lucas Etter,USA,,NAR,2014
BerkeleySummer2014,713,809,Richard Jay S. Apagar,Philippines,,AsR,2014
CuthbertsOpen2014,698,750,Alexander Lau,United Kingdom,,ER,2014
TorontoOpenFall2014,723,750,Bill Wang,Canada,,NAR,2014
Johannesburg2014,615,745,Mats Valk,Netherlands,,ER,2014
CubeEliteUnionCafe2014,581,1049,Jiayu Wang (王佳宇),China,AsR,,2014
KoreanChristmasCup2014,671,798,Seung Hyuk Nahm (남승혁),Korea,,AsR,2014
RedCrossCubingOpen2014,593,1053,Collin Burns,USA,NAR,,2014
NewAvgeOpen2015,704,1318,Juan Pablo Huanqui,Peru,SAR,,2015
XianCherryBlossom2015,680,785,Haowei Fan (樊浩玮),China,,AsR,2015
WelcomeBackToGuildford2015,657,737,Alexander Lau,United Kingdom,,ER,2015
DoylestownSpring2015,525,870,Collin Burns,USA,WR,,2015
BrasiliaOpen2015,684,843,Pedro Roque,Brazil,SAR,SAR,2015
CubeForCambodia2015,561,665,Feliks Zemdegs,Australia,OcR,,2015
UkrainianOpen2015,663,898,Valerii Pochtar (Валерій Почтар),Ukraine,NR,,2015
Michigan2015,585,713,Lucas Etter,USA,,NAR,2015
WC2015,560,721,Feliks Zemdegs,Australia,OcR,,2015
WC2015,539,697,Feliks Zemdegs,Australia,OcR,,2015
SESCSantos2015,682,1018,Pedro Roque,Brazil,SAR,,2015
ChinaChampionship2015,662,734,Mats Valk,Netherlands,,ER,2015
KoreanKAISTstyle2015,749,774,Hyeon Kyo Kyoung,Korea,,AsR,2015
DYCOpen2015,602,724,Mats Valk,Netherlands,,ER,2015
NancyOpen2015,608,713,Michał Pleskowicz,Poland,,ER,2015
PortoAlegreOpen2015,758,805,Pedro Roque,Brazil,,SAR,2015
RiverHillFall2015,490,828,Lucas Etter,USA,WR,,2015
BONDOpen2016,773,840,Ivan Vynnyk (Іван Винник),Ukraine,,NR,2016
ValentineinDaegu2016,632,706,Seung Hyuk Nahm (남승혁),Korea,,AsR,2016
SlavonicGymnasiumOpen2016,648,864,Valerii Pochtar (Валерій Почтар),Ukraine,NR,,2016
SlowNSteadySpring2016,620,706,Lucas Etter,USA,,NAR,2016
WLSLato2016,588,645,Feliks Zemdegs,Australia,,WR,2016
Euro2016,513,768,Mats Valk,Netherlands,ER,,2016
Euro2016,586,786,Ivan Vynnyk (Іван Винник),Ukraine,NR,NR,2016
KoreanChampionship2016,494,913,Hyo-Min Seo (서효민),Korea,AsR,,2016
AustralianNationals2016,532,676,Feliks Zemdegs,Australia,OcR,,2016
LimaRubik2016,639,1067,Juan Pablo Huanqui,Peru,SAR,,2016
LimaRubik2016,632,1049,Angelo Giovanni Licetti León,Peru,SAR,,2016
YoRubik2016,721,799,Rodrigo Paz Vaca,Bolivia,,SAR,2016
MasonCubingChallenge2016,529,705,Lucas Etter,USA,,NAR,2016
GermanNationals2016,621,681,Sebastian Weyer,Germany,,ER,2016
JawaTimurOpen2016,474,689,Mats Valk,Netherlands,WR,,2016
POPSOpen2016,473,697,Feliks Zemdegs,Australia,WR,,2016
AlgeriaWinter2016,1034,1058,Yassine Bettahar,Algeria,,AfR,2016
AlgeriaWinter2016,915,1233,Yassine Bettahar,Algeria,AfR,,2016
BluegrassSpring2017,476,726,Drew Brads,USA,NAR,,2017
CaltechWinter2017,625,692,Max Park,USA,,NAR,2017
ActivaClubRubik2017,652,797,Juan Pablo Huanqui,Peru,,SAR,2017
SlowNSteadySpring2017,557,689,Lucas Etter,USA,,NAR,2017
KAISTSpring2017,631,686,Seung Hyuk Nahm (남승혁),Korea,,AsR,2017
OCSEFOpen2017,560,639,Max Park,USA,,WR,2017
PlayCube2017,540,647,Seung Hyuk Nahm (남승혁),Korea,,AsR,2017
LatinAmericaCubingTourCochab2017,601,645,Feliks Zemdegs,Australia,,OcR,2017
LatinAmericaCubingTourArequi2017,585,645,Feliks Zemdegs,Australia,,OcR,2017
LatinAmericaCubingTourChia2017,555,597,Feliks Zemdegs,Australia,,WR,2017
ChachyaOpen2017,904,1227,Hassen Kallala,Tunisia,AfR,,2017
ChinaChampionship2017,490,643,Seung Hyuk Nahm (남승혁),Korea,AsR,AsR,2017
CampeonatoNacionalPerubik2017,611,961,Angelo Giovanni Licetti León,Peru,SAR,,2017
CampeonatoNacionalPerubik2017,734,793,Ernesto Gutiérrez Cuba,Peru,,SAR,2017
AlgeriaSummerOpen2017,854,926,Yassine Bettahar,Algeria,AfR,AfR,2017
RallyInTheValley2017,469,741,Patrick Ponce,USA,WR,,2017
FresnoFall2017,600,624,Max Park,USA,,NAR,2017
Johannesburg2017,809,1185,Shivaan Harichander,South Africa,AfR,,2017
MalaysiaCubeOpen2017,525,580,Feliks Zemdegs,Australia,,WR,2017
Chicago2017,459,754,SeungBeom Cho (조승범),Korea,WR,,2017
TF3ISanDiego2017,572,624,Max Park,USA,,NAR,2017
RenoFall2017,564,618,Max Park,USA,,NAR,2017
BerlinKubusProjekt2017,631,677,Philipp Weyer,Germany,,ER,2017
HobartSummer2018,459,628,Feliks Zemdegs,Australia,WR,,2018
ManchesterOpen2018,522,669,Sebastian Weyer,Germany,,ER,2018
DneprNeverFails2018,577,809,Mykyta Tytar (Микита Титарь),Ukraine,NR,,2018
LasVegasSpring2018,554,599,Max Park,USA,,NAR,2018
ArnoldClassicSouthAmerica2018,757,791,Pedro Roque,Brazil,,SAR,2018
SetifSpringOpen2018,673,1040,Yassine Bettahar,Algeria,AfR,,2018
SantaFeAutumnV22018,585,818,Bautista Bonazzola,Argentina,SAR,,2018
CubeforCambodia2018,422,626,Feliks Zemdegs,Australia,WR,,2018
ABCD2018,489,595,Max Park,USA,,NAR,2018
SchwandorfOpen2018,619,656,Philipp Weyer,Germany,,ER,2018
UkrainianOpen2018,708,786,Nikita Kovalchuk (Нікіта Ковальчук),Ukraine,,NR,2018
SemeyOpen2018,573,646,Mats Valk,Netherlands,,ER,2018
ChacoDeInvierno2018,680,789,Bautista Bonazzola,Argentina,,SAR,2018
CologneOpen2018,610,641,Philipp Weyer,Germany,,ER,2018
Brasileiro2018,684,780,Caio Hideaki Sato,Brazil,,SAR,2018
Pennsylvania2018,464,911,Tanzer Balimtas,USA,NAR,,2018
SacCubingV2018,440,613,Max Park,USA,NAR,,2018
IIBarueriOpen2018,687,773,Caio Hideaki Sato,Brazil,,SAR,2018
ChinaChampionship2018,594,638,Seung Hyuk Nahm (남승혁),Korea,,AsR,2018
SantaFeCubingSpring2018,577,748,Bautista Bonazzola,Argentina,SAR,SAR,2018
UkrainianNationals2018,646,749,Maksym Yeli (Максим Єлі),Ukraine,,NR,2018
UkrainianNationals2018,534,944,Mykyta Tytar (Микита Титарь),Ukraine,NR,,2018
PolishChampionship2018,459,962,Jakub Kipa,Poland,ER,,2018
WuhuOpen2018,347,900,Yusheng Du (杜宇生),China,WR,,2018
BonifacioMemorial2018,512,637,Leo Borromeo,Philippines,,AsR,2018
SwisscubingCupFinal2018,481,606,Philipp Weyer,Germany,,ER,2018
SouthAmericanChampionship2018,558,840,Antonio Gabriel Freitas da Silva,Brazil,SAR,,2018
LaTiendaCuberaChristmas2018,552,863,Angelo Giovanni Licetti León,Peru,SAR,,2018
NortheastChampionship2019,424,697,Patrick Ponce,USA,NAR,,2019
BayAreaSpeedcubin152019,496,583,Max Park,USA,,NAR,2019
KoalaficationBrisbane2019,557,569,Feliks Zemdegs,Australia,,WR,2019
SantaFeInvierno2019,550,779,Bautista Bonazzola,Argentina,SAR,,2019
WarmUpSydney2019,451,651,Tymon Kolasiński,Poland,ER,,2019
SensOpen2019,444,925,Juliette Sébastien,France,ER,,2019
VETECJacareiOpen2019,623,735,Caio Hideaki Sato,Brazil,,SAR,2019
UkrainianNationals2019,654,745,Mykyta Tytar (Микита Титарь),Ukraine,,NR,2019
MarikinaCityOpenII2019,552,598,Sean Patrick Villanueva,Philippines,,AsR,2019
OddDayinSydney2019,467,553,Feliks Zemdegs,Australia,,WR,2019
